iter	Passed	Remaining
0	1	1772
1	3	1705
2	4	1657
3	6	1700
4	8	1658
5	9	1599
6	11	1564
7	12	1535
8	13	1534
9	15	1540
10	17	1565
11	21	1765
12	23	1758
13	24	1737
14	26	1719
15	27	1706
16	29	1703
17	30	1689
18	32	1675
19	34	1679
20	35	1669
21	37	1676
22	39	1663
23	40	1652
24	42	1639
25	43	1637
26	45	1628
27	46	1621
28	48	1616
29	52	1693
30	54	1689
31	55	1683
32	57	1689
33	59	1682
34	60	1674
35	62	1676
36	64	1682
37	66	1695
38	68	1688
39	70	1682
40	71	1681
41	73	1674
42	74	1663
43	76	1653
44	77	1645
45	81	1695
46	83	1690
47	84	1679
48	86	1670
49	87	1665
50	88	1656
51	90	1653
52	92	1645
53	95	1670
54	97	1668
55	98	1660
56	100	1655
57	101	1651
58	102	1642
59	104	1633
60	105	1625
61	106	1617
62	110	1638
63	112	1642
64	114	1640
65	115	1636
66	117	1630
67	118	1627
68	120	1622
69	121	1618
70	123	1611
71	125	1613
72	127	1620
73	128	1613
74	130	1606
75	131	1599
76	132	1593
77	134	1587
78	135	1584
79	136	1575
80	138	1569
81	140	1570
82	141	1566
83	143	1562
84	144	1560
85	146	1557
86	147	1552
87	149	1547
88	150	1543
89	152	1540
90	155	1553
91	156	1548
92	158	1542
93	159	1537
94	160	1531
95	162	1527
96	163	1525
97	165	1521
98	166	1517
99	168	1512
100	170	1518
101	172	1516
102	173	1514
103	175	1508
104	176	1503
105	177	1499
106	179	1495
107	180	1491
108	182	1487
109	183	1485
110	186	1492
111	188	1491
112	189	1488
113	191	1486
114	192	1481
115	193	1477
116	195	1472
117	196	1469
118	197	1464
119	202	1488
120	204	1487
121	206	1487
122	208	1485
123	209	1482
124	211	1480
125	213	1478
126	215	1484
127	217	1484
128	219	1481
129	220	1478
130	222	1475
131	224	1473
132	225	1470
133	227	1467
134	229	1468
135	230	1462
136	231	1458
137	232	1453
138	233	1448
139	234	1443
140	236	1440
141	237	1437
142	239	1434
143	240	1431
144	242	1430
145	245	1436
146	246	1432
147	248	1429
148	249	1425
149	252	1432
150	254	1430
151	255	1427
152	257	1425
153	261	1434
154	263	1433
155	264	1430
156	265	1426
157	267	1423
158	268	1421
159	270	1419
160	271	1416
161	273	1413
162	276	1422
163	278	1419
164	279	1415
165	281	1412
166	282	1409
167	284	1406
168	285	1403
169	287	1401
170	290	1408
171	292	1406
172	294	1406
173	295	1404
174	297	1401
175	298	1398
176	299	1393
177	300	1389
178	301	1384
179	302	1379
180	304	1377
181	305	1374
182	306	1370
183	308	1367
184	309	1363
185	310	1359
186	311	1355
187	312	1351
188	314	1347
189	315	1343
190	316	1338
191	317	1334
192	318	1330
193	319	1327
194	320	1323
195	321	1319
196	323	1317
197	324	1315
198	326	1313
199	328	1312
200	329	1309
201	330	1307
202	332	1304
203	333	1302
204	335	1300
205	338	1304
206	340	1303
207	342	1302
208	343	1300
209	345	1300
210	347	1299
211	349	1299
212	352	1301
213	354	1300
214	356	1300
215	357	1298
216	359	1297
217	361	1295
218	362	1294
219	364	1293
220	366	1292
221	368	1291
222	370	1291
223	372	1290
224	374	1288
225	377	1291
226	379	1292
227	381	1292
228	383	1290
229	384	1287
230	386	1285
231	387	1283
232	389	1281
233	390	1279
234	392	1277
235	394	1275
236	395	1274
237	397	1272
238	399	1271
239	401	1270
240	402	1268
241	404	1265
242	405	1263
243	407	1261
244	409	1261
245	410	1258
246	412	1256
247	413	1254
248	415	1252
249	417	1251
250	418	1249
251	420	1247
252	422	1247
253	424	1246
254	426	1246
255	428	1244
256	430	1243
257	431	1241
258	433	1239
259	434	1237
260	436	1235
261	437	1233
262	439	1232
263	441	1229
264	442	1227
265	444	1225
266	445	1223
267	447	1220
268	448	1218
269	450	1216
270	451	1214
271	452	1211
272	454	1209
273	455	1207
274	457	1205
275	458	1203
276	460	1202
277	462	1200
278	463	1197
279	464	1194
280	466	1193
281	467	1190
282	469	1188
283	470	1186
284	471	1184
285	473	1182
286	475	1180
287	476	1178
288	478	1176
289	479	1173
290	480	1171
291	482	1169
292	483	1167
293	485	1165
294	486	1163
295	488	1161
296	489	1159
297	491	1157
298	492	1155
299	494	1152
300	495	1150
301	497	1149
302	498	1147
303	500	1145
304	502	1143
305	503	1142
306	505	1140
307	506	1138
308	508	1137
309	510	1135
310	511	1134
311	513	1132
312	515	1131
313	517	1130
314	518	1128
315	520	1127
316	522	1125
317	524	1123
318	525	1121
319	526	1119
320	528	1118
321	530	1117
322	532	1115
323	533	1113
324	534	1110
325	536	1108
326	537	1106
327	539	1105
328	540	1102
329	542	1100
330	544	1099
331	545	1097
332	547	1096
333	549	1094
334	550	1093
335	552	1091
336	553	1089
337	555	1087
338	558	1088
339	560	1087
340	561	1085
341	563	1083
342	565	1082
343	566	1080
344	568	1079
345	569	1076
346	571	1074
347	573	1074
348	575	1073
349	577	1072
350	580	1072
351	582	1072
352	583	1070
353	585	1068
354	590	1072
355	592	1071
356	594	1070
357	595	1068
358	597	1066
359	598	1064
360	600	1062
361	602	1061
362	605	1062
363	607	1060
364	608	1058
365	610	1056
366	611	1055
367	613	1053
368	615	1051
369	617	1051
370	619	1051
371	621	1049
372	623	1047
373	624	1045
374	626	1043
375	627	1041
376	629	1039
377	630	1037
378	633	1037
379	636	1037
380	637	1036
381	639	1034
382	641	1033
383	642	1031
384	644	1029
385	646	1028
386	648	1027
387	649	1025
388	651	1023
389	652	1021
390	654	1019
391	655	1016
392	656	1014
393	658	1013
394	660	1012
395	663	1011
396	665	1010
397	666	1008
398	668	1006
399	669	1004
400	671	1003
401	673	1001
402	674	999
403	676	998
404	678	996
405	679	994
406	681	992
407	682	990
408	684	989
409	686	987
410	688	986
411	689	984
412	691	982
413	693	981
414	694	979
415	696	977
416	698	976
417	699	974
418	701	972
419	702	970
420	704	968
421	706	967
422	709	967
423	711	965
424	712	964
425	714	962
426	715	960
427	716	958
428	718	956
429	720	954
430	721	952
431	723	951
432	725	950
433	726	947
434	728	946
435	730	944
436	731	942
437	733	941
438	735	939
439	737	938
440	738	936
441	740	934
442	741	932
443	743	930
444	745	929
